V1	V2	V3	V4
1	meyer's loop of optic radiation	<http://purl.obolibrary.org/obo/uberon_0035935>	meyer's loop of optic radiation 	<http://purl.obolibrary.org/obo/hba_265505214>
2	brainstem nucleus	<http://purl.obolibrary.org/obo/uberon_0006331>	nucleus of reuniens	<http://purl.obolibrary.org/obo/mba_181>
3	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	forebrain ipsilateral fiber tracts	<http://purl.obolibrary.org/obo/dhba_10568>
4	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	uncinate fasciculus	<http://purl.obolibrary.org/obo/dhba_10594>
5	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	dorsal longitudinal fasciculus	<http://purl.obolibrary.org/obo/dhba_12035>
6	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	cuneate fasciculus	<http://purl.obolibrary.org/obo/dhba_12731>
7	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	gracile fasciculus	<http://purl.obolibrary.org/obo/dhba_12739>
8	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	medial longitudinal fasciculus	<http://purl.obolibrary.org/obo/dhba_12764>
9	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	fasciculus retroflexus	<http://purl.obolibrary.org/obo/hba_12953>
10	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	cuneate fasciculus	<http://purl.obolibrary.org/obo/hba_265505550>
11	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	gracile fasciculus	<http://purl.obolibrary.org/obo/hba_265505586>
12	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	dorsal longitudinal fasciculus, right	<http://purl.obolibrary.org/obo/hba_9348>
13	cerebral nerve fasciculus	<http://purl.obolibrary.org/obo/uberon_0022248>	medial longitudinal fasciculus, right	<http://purl.obolibrary.org/obo/hba_9351>
14	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	dentate area (dentate gyrus)	<http://purl.obolibrary.org/obo/dhba_10295>
15	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	fasciolar gyrus	<http://purl.obolibrary.org/obo/dhba_12175>
16	gyrus	<http://purl.obolibrary.org/obo/uberon_0000200>	dentate gyrus	<http://purl.obolibrary.org/obo/hba_12891>
17	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricles	<http://purl.obolibrary.org/obo/dhba_10596>
18	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	ventricles, forebrain	<http://purl.obolibrary.org/obo/dmba_126651562>
19	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricle	<http://purl.obolibrary.org/obo/hba_9419>
20	lateral structure	<http://purl.obolibrary.org/obo/uberon_0015212>	lateral ventricle	<http://purl.obolibrary.org/obo/mba_81>
21	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	alveus	<http://purl.obolibrary.org/obo/dhba_10570>
22	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	olfactory nerve layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11326>
23	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	glomerular layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11327>
24	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	mitral cell layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11329>
25	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	inner plexiform layer of olfactory bulb	<http://purl.obolibrary.org/obo/dhba_11330>
26	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/dhba_12037>
27	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of thalamus	<http://purl.obolibrary.org/obo/dhba_12038>
28	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/dhba_12062>
29	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of thalamus	<http://purl.obolibrary.org/obo/dhba_12063>
30	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/hba_265505086>
31	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	external medullary lamina of thalamus	<http://purl.obolibrary.org/obo/hba_265505098>
32	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of globus pallidus	<http://purl.obolibrary.org/obo/hba_265505122>
33	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	internal medullary lamina of thalamus	<http://purl.obolibrary.org/obo/hba_265505134>
34	layer of neocortex	<http://purl.obolibrary.org/obo/uberon_0002301>	alveus	<http://purl.obolibrary.org/obo/hba_9234>
35	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	neural plate	<http://purl.obolibrary.org/obo/dhba_10153>
36	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	neural tube	<http://purl.obolibrary.org/obo/dhba_10154>
37	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11276>
38	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11277>
39	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11278>
40	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca1	<http://purl.obolibrary.org/obo/dhba_11279>
41	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11281>
42	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11282>
43	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11283>
44	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca1	<http://purl.obolibrary.org/obo/dhba_11284>
45	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11286>
46	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11287>
47	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11288>
48	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca2	<http://purl.obolibrary.org/obo/dhba_11289>
49	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11291>
50	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11292>
51	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11293>
52	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca2	<http://purl.obolibrary.org/obo/dhba_11294>
53	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11296>
54	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11297>
55	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11299>
56	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of rostral ca3	<http://purl.obolibrary.org/obo/dhba_11300>
57	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11302>
58	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11303>
59	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11305>
60	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of caudal ca3	<http://purl.obolibrary.org/obo/dhba_11306>
61	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	septum pellucidum	<http://purl.obolibrary.org/obo/dhba_12098>
62	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	roof plate of midbrain	<http://purl.obolibrary.org/obo/dhba_12320>
63	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	cerebellar plate	<http://purl.obolibrary.org/obo/dhba_12698>
64	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441271>
65	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441283>
66	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441287>
67	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of uncal ca1	<http://purl.obolibrary.org/obo/dhba_266441291>
68	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of uncal ca2	<http://purl.obolibrary.org/obo/dhba_266441315>
69	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of uncal ca2	<http://purl.obolibrary.org/obo/dhba_266441327>
70	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of uncal ca2	<http://purl.obolibrary.org/obo/dhba_266441331>
71	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of uncal ca2	<http://purl.obolibrary.org/obo/dhba_266441335>
72	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum lacunosum-moleculare of uncal ca3	<http://purl.obolibrary.org/obo/dhba_266441359>
73	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum radiatum of uncal ca3	<http://purl.obolibrary.org/obo/dhba_266441371>
74	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum pyramidale of uncal ca3	<http://purl.obolibrary.org/obo/dhba_266441379>
75	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	stratum oriens of uncal ca3	<http://purl.obolibrary.org/obo/dhba_266441383>
76	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	neural plate	<http://purl.obolibrary.org/obo/dmba_15565>
77	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	field ca3, stratum lucidum	<http://purl.obolibrary.org/obo/dmba_16144>
78	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r1 roof plate	<http://purl.obolibrary.org/obo/dmba_16916>
79	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r1 floor plate	<http://purl.obolibrary.org/obo/dmba_17022>
80	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r2 roof plate	<http://purl.obolibrary.org/obo/dmba_17024>
81	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r2 floor plate	<http://purl.obolibrary.org/obo/dmba_17091>
82	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r3 roof plate	<http://purl.obolibrary.org/obo/dmba_17094>
83	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r3 floor plate	<http://purl.obolibrary.org/obo/dmba_17155>
84	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r4 roof plate	<http://purl.obolibrary.org/obo/dmba_17157>
85	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r4 floor plate	<http://purl.obolibrary.org/obo/dmba_17219>
86	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r5 roof plate	<http://purl.obolibrary.org/obo/dmba_17222>
87	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r5 floor plate	<http://purl.obolibrary.org/obo/dmba_17289>
88	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r6 roof plate	<http://purl.obolibrary.org/obo/dmba_17291>
89	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r6 floor plate	<http://purl.obolibrary.org/obo/dmba_17351>
90	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r7 roof plate	<http://purl.obolibrary.org/obo/dmba_17354>
91	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r7 floor plate	<http://purl.obolibrary.org/obo/dmba_17415>
92	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r8 roof plate	<http://purl.obolibrary.org/obo/dmba_17417>
93	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	r8 floor plate	<http://purl.obolibrary.org/obo/dmba_17475>
94	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	lateral nucleus of the pulvinar, left	<http://purl.obolibrary.org/obo/hba_4413>
95	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	dentate gyrus, subgranular zone	<http://purl.obolibrary.org/obo/mba_10702>
96	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	field ca3, stratum lucidum	<http://purl.obolibrary.org/obo/mba_479>
97	neural tissue	<http://purl.obolibrary.org/obo/uberon_0003714>	hippocampal stratum lucidum of ca3	<http://purl.obolibrary.org/obo/pba_10071>
98	neural tube derived brain	<http://purl.obolibrary.org/obo/uberon_0008823>	basic cell groups and regions	<http://purl.obolibrary.org/obo/mba_8>
99	neural tube derived brain	<http://purl.obolibrary.org/obo/uberon_0008823>	root	<http://purl.obolibrary.org/obo/mba_997>
100	neural tube derived brain	<http://purl.obolibrary.org/obo/uberon_0008823>	brain	<http://purl.obolibrary.org/obo/pba_3999>
101	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014596>	paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/hba_4577>
102	paraventricular nucleus of the hypothalamus descending division - dorsal parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014596>	paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	<http://purl.obolibrary.org/obo/mba_439>
103	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014597>	paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/hba_4578>
104	paraventricular nucleus of the hypothalamus descending division - lateral parvocellular part	<http://purl.obolibrary.org/obo/uberon_0014597>	paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	<http://purl.obolibrary.org/obo/mba_455>
105	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/uberon_0014595>	paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/hba_4576>
106	paraventricular nucleus of the hypothalamus descending division - medial parvocellular part, ventral zone	<http://purl.obolibrary.org/obo/uberon_0014595>	paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/mba_464>
107	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	parvicellular division of paraventricular nucleus	<http://purl.obolibrary.org/obo/dhba_10479>
108	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	paraventricular nucleus of the hypothalamus, left, parvicellular division	<http://purl.obolibrary.org/obo/hba_4586>
109	paraventricular nucleus of the hypothalamus parvocellular division	<http://purl.obolibrary.org/obo/uberon_0014604>	paraventricular hypothalamic nucleus, parvicellular division	<http://purl.obolibrary.org/obo/mba_94>
110	parvocellular part of medial dorsal nucleus	<http://purl.obolibrary.org/obo/uberon_0002654>	ventral anterior nucleus of the thalamus, left, principal division	<http://purl.obolibrary.org/obo/hba_4419>
111	parvocellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/uberon_0003018>	parvocellular division of vpm	<http://purl.obolibrary.org/obo/dhba_146034766>
112	parvocellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/uberon_0003018>	ventral posteromedial nucleus of the thalamus, parvicellular part	<http://purl.obolibrary.org/obo/mba_741>
113	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lightly-stained cell islands of lateral olfactory area  	<http://purl.obolibrary.org/obo/dhba_266441439>
114	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	anteromedial large-celled island of md 	<http://purl.obolibrary.org/obo/dhba_266441507>
115	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial division of central lateral nucleus 	<http://purl.obolibrary.org/obo/dhba_266441527>
116	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	body of cc, caudal portion 	<http://purl.obolibrary.org/obo/dhba_266441575>
117	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	meyer's loop of optic radiation 	<http://purl.obolibrary.org/obo/dhba_266441617>
118	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lateral occipito-temporal area 	<http://purl.obolibrary.org/obo/dhba_267499067>
119	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	area v3b of peristriate cortex 	<http://purl.obolibrary.org/obo/dhba_267499095>
120	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	area v6 of peristriate cortex 	<http://purl.obolibrary.org/obo/dhba_267499123>
121	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	area v7 of peristriate cortex 	<http://purl.obolibrary.org/obo/dhba_267499179>
122	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	nucleus of the diagonal band, right 	<http://purl.obolibrary.org/obo/hba_4316>
123	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	pallidothalamic pathway	<http://purl.obolibrary.org/obo/mba_142>
124	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	nucleus of reuniens	<http://purl.obolibrary.org/obo/mba_181>
125	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial corticohypothalamic tract	<http://purl.obolibrary.org/obo/mba_428>
126	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area	<http://purl.obolibrary.org/obo/mba_480149202>
127	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area, layer 1	<http://purl.obolibrary.org/obo/mba_480149206>
128	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area, layer 2/3	<http://purl.obolibrary.org/obo/mba_480149210>
129	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area, layer 4	<http://purl.obolibrary.org/obo/mba_480149214>
130	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area,layer 5	<http://purl.obolibrary.org/obo/mba_480149218>
131	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area, layer 6a	<http://purl.obolibrary.org/obo/mba_480149222>
132	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	rostrolateral lateral visual area, layer 6b	<http://purl.obolibrary.org/obo/mba_480149226>
133	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area	<http://purl.obolibrary.org/obo/mba_480149230>
134	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area, layer 1	<http://purl.obolibrary.org/obo/mba_480149234>
135	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area, layer 2/3	<http://purl.obolibrary.org/obo/mba_480149238>
136	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area, layer 4	<http://purl.obolibrary.org/obo/mba_480149242>
137	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area,layer 5	<http://purl.obolibrary.org/obo/mba_480149246>
138	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area, layer 6a	<http://purl.obolibrary.org/obo/mba_480149250>
139	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	laterolateral anterior visual area, layer 6b	<http://purl.obolibrary.org/obo/mba_480149254>
140	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area	<http://purl.obolibrary.org/obo/mba_480149258>
141	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area, layer 1	<http://purl.obolibrary.org/obo/mba_480149262>
142	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area, layer 2/3	<http://purl.obolibrary.org/obo/mba_480149266>
143	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area, layer 4	<http://purl.obolibrary.org/obo/mba_480149270>
144	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area,layer 5	<http://purl.obolibrary.org/obo/mba_480149274>
145	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area, layer 6a	<http://purl.obolibrary.org/obo/mba_480149278>
146	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial anterior visual area, layer 6b	<http://purl.obolibrary.org/obo/mba_480149282>
147	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area	<http://purl.obolibrary.org/obo/mba_480149286>
148	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area, layer 1	<http://purl.obolibrary.org/obo/mba_480149290>
149	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area, layer 2/3	<http://purl.obolibrary.org/obo/mba_480149294>
150	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area, layer 4	<http://purl.obolibrary.org/obo/mba_480149298>
151	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area,layer 5	<http://purl.obolibrary.org/obo/mba_480149302>
152	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area, layer 6a	<http://purl.obolibrary.org/obo/mba_480149306>
153	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	mediomedial posterior visual area, layer 6b	<http://purl.obolibrary.org/obo/mba_480149310>
154	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area	<http://purl.obolibrary.org/obo/mba_480149314>
155	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area, layer 1	<http://purl.obolibrary.org/obo/mba_480149318>
156	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area, layer 2/3	<http://purl.obolibrary.org/obo/mba_480149322>
157	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area, layer 4	<http://purl.obolibrary.org/obo/mba_480149326>
158	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area,layer 5	<http://purl.obolibrary.org/obo/mba_480149330>
159	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area, layer 6a	<http://purl.obolibrary.org/obo/mba_480149334>
160	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	medial visual area, layer 6b	<http://purl.obolibrary.org/obo/mba_480149338>
161	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum	<http://purl.obolibrary.org/obo/mba_484682470>
162	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, dorsal part	<http://purl.obolibrary.org/obo/mba_484682475>
163	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, dorsal part, molecular layer	<http://purl.obolibrary.org/obo/mba_484682479>
164	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, dorsal part, pyramidal layer	<http://purl.obolibrary.org/obo/mba_484682483>
165	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, dorsal part, stratum radiatum	<http://purl.obolibrary.org/obo/mba_484682487>
166	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, ventral part	<http://purl.obolibrary.org/obo/mba_484682492>
167	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, ventral part, molecular layer	<http://purl.obolibrary.org/obo/mba_484682496>
168	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, ventral part, pyramidal layer	<http://purl.obolibrary.org/obo/mba_484682500>
169	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	prosubiculum, ventral part, stratum radiatum	<http://purl.obolibrary.org/obo/mba_484682504>
170	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	area prostriata	<http://purl.obolibrary.org/obo/mba_484682508>
171	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	supra-callosal cerebral white matter	<http://purl.obolibrary.org/obo/mba_484682512>
172	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	corpus callosum, body	<http://purl.obolibrary.org/obo/mba_484682516>
173	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	optic radiation	<http://purl.obolibrary.org/obo/mba_484682520>
174	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	auditory radiation	<http://purl.obolibrary.org/obo/mba_484682524>
175	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	commissural branch of stria terminalis	<http://purl.obolibrary.org/obo/mba_484682528>
176	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, shell	<http://purl.obolibrary.org/obo/mba_496345664>
177	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, core	<http://purl.obolibrary.org/obo/mba_496345668>
178	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, ipsilateral zone	<http://purl.obolibrary.org/obo/mba_496345672>
179	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal pole, layer 5	<http://purl.obolibrary.org/obo/mba_526157192>
180	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal pole, layer 6a	<http://purl.obolibrary.org/obo/mba_526157196>
